,idx_cd,eval_d,log_p,y
1,KISCOMPBONDCALL,1987-02-28,2.9797310191539057,0.006723060747598986
2,KISCOMPBONDCALL,1987-03-31,2.9872752988188216,0.007572809443160633
3,KISCOMPBONDCALL,1987-04-30,2.9942416106097647,0.006990632984465561
4,KISCOMPBONDCALL,1987-05-31,3.001284645413207,0.007067895303247251
5,KISCOMPBONDCALL,1987-06-30,3.008713858019914,0.007456877674138607
6,KISCOMPBONDCALL,1987-07-31,3.0163978323249356,0.007713571795800345
7,KISCOMPBONDCALL,1987-08-31,3.0248706118724384,0.00850877513320114
8,KISCOMPBONDCALL,1987-09-30,3.0318506157543044,0.007004420886162599
9,KISCOMPBONDCALL,1987-10-31,3.0396468911395744,0.007826745473138441
10,KISCOMPBONDCALL,1987-11-30,3.046769326502832,0.007147860232494363
11,KISCOMPBONDCALL,1987-12-31,3.0545738177459447,0.007835025668423423
12,KISCOMPBONDCALL,1988-01-31,3.0625152627066248,0.007973061873953524
13,KISCOMPBONDCALL,1988-02-29,3.0697965353710956,0.0073078455860211555
14,KISCOMPBONDCALL,1988-03-31,3.077773582982435,0.008008949025583911
15,KISCOMPBONDCALL,1988-04-30,3.0855835235576046,0.007840517711100947
16,KISCOMPBONDCALL,1988-05-31,3.0934373170521496,0.007884715429159916
17,KISCOMPBONDCALL,1988-06-30,3.1012527363662783,0.007846039421335771
18,KISCOMPBONDCALL,1988-07-31,3.1095529879100474,0.008334794136207746
19,KISCOMPBONDCALL,1988-08-31,3.1184941457971576,0.00898124943850509
20,KISCOMPBONDCALL,1988-09-30,3.127350358293928,0.008895544772585806
21,KISCOMPBONDCALL,1988-10-31,3.1354451877950122,0.008127681216593352
22,KISCOMPBONDCALL,1988-11-30,3.1430770898493603,0.007661099248276626
23,KISCOMPBONDCALL,1988-12-31,3.150966488822785,0.007920602285988343
24,KISCOMPBONDCALL,1989-01-31,3.1587052325795253,0.007768765227060381
25,KISCOMPBONDCALL,1989-02-28,3.167599676723198,0.008934117248154516
26,KISCOMPBONDCALL,1989-03-31,3.1787127414028236,0.011175044164137393
27,KISCOMPBONDCALL,1989-04-30,3.189412202933816,0.010756905459754718
28,KISCOMPBONDCALL,1989-05-31,3.200407503644968,0.011055971189505964
29,KISCOMPBONDCALL,1989-06-30,3.2108330724142307,0.010480104368118859
30,KISCOMPBONDCALL,1989-07-31,3.2212751215930653,0.010496757631329512
31,KISCOMPBONDCALL,1989-08-31,3.2314953457067834,0.010272628981863319
32,KISCOMPBONDCALL,1989-09-30,3.2414032775829957,0.009957177941086748
33,KISCOMPBONDCALL,1989-10-31,3.2539059508263652,0.012581158412883875
34,KISCOMPBONDCALL,1989-11-30,3.2664909758237792,0.012664549681053128
35,KISCOMPBONDCALL,1989-12-31,3.2778507601439406,0.011424551685489837
36,KISCOMPBONDCALL,1990-01-31,3.2876924851298988,0.009890314030495562
37,KISCOMPBONDCALL,1990-02-28,3.296553548083883,0.008900438389126908
38,KISCOMPBONDCALL,1990-03-31,3.3066428612883683,0.010140381929909514
39,KISCOMPBONDCALL,1990-04-30,3.318700420149939,0.012130544271393484
40,KISCOMPBONDCALL,1990-05-31,3.331361654846965,0.012741727483003285
41,KISCOMPBONDCALL,1990-06-30,3.3430653853057772,0.01177248708666756
42,KISCOMPBONDCALL,1990-07-31,3.355159728777821,0.01216777578398176
43,KISCOMPBONDCALL,1990-08-31,3.3671634268063495,0.012076031545194654
44,KISCOMPBONDCALL,1990-09-30,3.3782238472592545,0.011121813037026307
45,KISCOMPBONDCALL,1990-10-31,3.3897907222087267,0.011634029922139577
46,KISCOMPBONDCALL,1990-11-30,3.40164262375249,0.011922413620917283
47,KISCOMPBONDCALL,1990-12-31,3.413881300039207,0.012313875351209536
48,KISCOMPBONDCALL,1991-01-31,3.4251354195125816,0.011317685311308168
49,KISCOMPBONDCALL,1991-02-28,3.4359256648804,0.010848670015036976
50,KISCOMPBONDCALL,1991-03-31,3.4482374643997846,0.01238790172073978
51,KISCOMPBONDCALL,1991-04-30,3.460649690093451,0.012489577069946689
52,KISCOMPBONDCALL,1991-05-31,3.474219858660818,0.01366266121154669
53,KISCOMPBONDCALL,1991-06-30,3.48962932037555,0.015528799659786596
54,KISCOMPBONDCALL,1991-07-31,3.504955111989813,0.015443833817689656
55,KISCOMPBONDCALL,1991-08-31,3.520778468802855,0.01594920904885022
56,KISCOMPBONDCALL,1991-09-30,3.536484216870919,0.015829731563348437
57,KISCOMPBONDCALL,1991-10-31,3.5516588362754953,0.015290338531921854
58,KISCOMPBONDCALL,1991-11-30,3.5659548764276154,0.014398717242605663
59,KISCOMPBONDCALL,1991-12-31,3.580290731629618,0.014439106382175382
60,KISCOMPBONDCALL,1992-01-31,3.592714525140486,0.012501289432036211
61,KISCOMPBONDCALL,1992-02-29,3.6039167424746354,0.011265197122140469
62,KISCOMPBONDCALL,1992-03-31,3.6164572133437334,0.012619432299855848
63,KISCOMPBONDCALL,1992-04-30,3.6287177213572983,0.012335976152468842
64,KISCOMPBONDCALL,1992-05-31,3.641373767621296,0.012736472954006928
65,KISCOMPBONDCALL,1992-06-30,3.653561702079083,0.012262509996919357
66,KISCOMPBONDCALL,1992-07-31,3.6662117232967883,0.01273037118825715
67,KISCOMPBONDCALL,1992-08-31,3.678893238644048,0.012762266752029294
68,KISCOMPBONDCALL,1992-09-30,3.6911137623488814,0.012295499407481092
69,KISCOMPBONDCALL,1992-10-31,3.7011233682750424,0.010059869598092908
70,KISCOMPBONDCALL,1992-11-30,3.7119159402012216,0.010851021816197237
